Coordinate_mm,High,Low
-4,87.2,
-3,87.1,
-2,87,
-1,87,
0,87,
1,87.1,
2,87.2,
3,89.5,
4,98.4,
5,105.3,
6,110.1,
7,113.8,
8,116.7,
9,118.9,
10,120.3,
11,121.1,
12,121.8,
13,122.4,
14,122.5,
15,122.3,
16,122.3,
17,122,
18,121.8,
19,121.3,
20,120.9,
21,120.5,
22,120,
23,119.4,
24,118.9,
25,118.3,
26,118.1,
27,117.4,
28,116.9,
29,116.4,
30,116,
31,115.4,
32,114.8,
33,114.3,
34,113.6,
35,113.4,
36,112.9,
37,112.3,
38,111.8,
39,111.3,
40,110.7,
41,110.4,
42,109.7,
43,109.3,
44,108.7,
45,108,
46,107.7,
47,107.1,
48,106.5,
49,106.2,
50,105.5,
51,105,105.2
52,104.4,104.7
53,104,104.2
54,103.4,103.7
55,103,103
56,102.5,102.4
57,101.9,101.9
58,101.4,101.5
59,101,101
60,,100.5
61,,99.9
62,,99.3
63,,98.9
64,,98.4
65,,97.9
66,,97.3
67,,96.8
68,,96.3
69,,95.8
70,,95.4
71,,94.9
72,,94.4
73,,94
74,,93.6
75,,93.2
76,,92.8
77,,92.2
78,,91.6
79,,91.1
80,,90.6
81,,90.4
82,,90.1
83,,89.4
84,,88.7
85,,88.2
86,,87.8
87,,87.3
88,,86.8
89,,86.4
90,,86
91,,85.7
92,,85.4
93,,84.9
94,,84.3
95,,83.8
96,,83.3
97,,82.9
98,,82.6
99,,82.1
100,,81.6
101,,81.2
102,,80.8
103,,80.3
104,,79.7
105,,79.3
106,,78.9
107,,78.4
108,,77.9
109,,77.6
110,,77.3
111,,76.8
112,,76.4
113,,75.9
114,,75.4
115,,75
116,,74.5
117,,74.2
118,,73.8
119,,73.4
120,,73
121,,72.6
122,,72.1
123,,71.7
124,,71.4
125,,71
126,,70.7
127,,70.3
128,,69.9
129,,69.4
130,,68.9
131,,68.7
132,,68.4
133,,68
134,,67.5
135,,67.2
136,,66.8
137,,66.6
138,,66.4
139,,66
140,,65.6
141,,65.1
142,,64.6
143,,64.3
144,,64.1
145,,63.6
146,,63.2
147,,62.9
148,,62.6
149,,62.2
150,,61.8
151,,61.7
152,,61.5
153,,61.1
154,,60.7
155,,60.2
156,,59.7
157,,59.4
158,,59.1
159,,58.8
160,,58.4
161,,58.1
162,,57.8
163,,57.5
164,,57.1
165,,56.8
166,,56.4
167,,56.3
168,,56.1
169,,55.7
170,,55.3
171,,55.1
172,,54.9
173,,54.4
174,,54
175,,53.7
176,,53.4
177,,53.1
178,,52.8
179,,52.6
180,,52.3
181,,52
182,,51.7
183,,51.4
184,,51.1
185,,50.9
186,,50.7
187,,50.4
188,,50.2
189,,49.9
190,,49.7
191,,49.3
192,,49
193,,48.6
194,,48.3
195,,48
196,,47.8
197,,47.6
198,,47.3
199,,47
200,,46.7
201,,46.5
202,,46.4
203,,46.1
204,,45.8
205,,45.5
206,,45.2
207,,44.9
208,,44.6
209,,44.5
210,,44.4
211,,44.1
212,,43.8
213,,43.5
214,,43.1
215,,42.9
216,,42.7
217,,42.4
218,,42.1
219,,41.9
220,,41.7
221,,41.5
222,,41.4
223,,41.1
224,,40.9
225,,40.8
226,,40.6
227,,40.3
228,,40
229,,39.7
230,,39.4
231,,39.2
232,,38.9
233,,38.8
234,,38.6
235,,38.4
236,,38.2
237,,38
238,,37.8
239,,37.6
240,,37.4
241,,37.2
242,,37
243,,36.6
244,,36.4
245,,36.3
246,,36.3
247,,36
248,,35.7
249,,35.5
250,,35.3
251,,35.1
252,,35
253,,34.8
254,,34.5
255,,34.4
256,,34.2
257,,34.1
258,,34
259,,33.7
260,,33.5
261,,33.3
262,,33.1
263,,32.8
264,,32.6
265,,32.5
266,,32.3
267,,32.2
268,,32.1
269,,31.9
270,,31.8
271,,31.6
272,,31.3
273,,31.2
274,,31
275,,30.8
276,,30.6
277,,30.4
278,,30.2
279,,30.2
280,,30.1
281,,29.8
282,,29.5
283,,29.4
284,,29.3
285,,29.2
286,,29.1
287,,28.9
288,,28.7
289,,28.5
290,,28.3
291,,28.2
292,,28
293,,27.9
294,,27.7
295,,27.6
296,,27.4
297,,27.2
298,,27
299,,26.8
300,,26.7
301,,26.6
302,,26.5
303,,26.4
304,,26.4
305,,26.1
306,,25.9
307,,25.8
308,,25.7
309,,25.5
310,,25.3
311,,25.2
312,,25.1
313,,25
314,,24.9
315,,24.8
316,,24.6
317,,24.4
318,,24.2
319,,24.2
320,,24.1
321,,24
322,,23.9
323,,23.7
324,,23.6
325,,23.4
326,,23.3
327,,23.1
328,,23
329,,22.9
330,,22.7
331,,22.6
332,,22.4
333,,22.4
334,,22.3
335,,22.2
336,,22
337,,21.8
338,,21.7
339,,21.6
340,,21.5
341,,21.4
342,,21.3
343,,21.1
344,,21
345,,20.9
346,,20.8
347,,20.7
348,,20.6
349,,20.5
350,,20.3
