Relative_depth,1,1.4,2,2.5,3,3.5,4,4.5,5,5.5,6,7,8,10,13,16,20
0.02,1.076,1.06,1.042,1.03,1.02,1.012,1.004,0.997,0.991,0.986,0.98,0.971,0.963,0.95,0.935,0.924,0.914
0.05,1.078,1.061,1.044,1.032,1.022,1.014,1.006,1,0.994,0.988,0.983,0.974,0.965,0.952,0.937,0.926,0.916
0.1,1.08,1.064,1.047,1.036,1.026,1.018,1.01,1.004,0.998,0.992,0.987,0.978,0.97,0.957,0.942,0.931,0.92
0.15,1.083,1.067,1.05,1.039,1.03,1.022,1.014,1.008,1.002,0.997,0.992,0.983,0.975,0.961,0.946,0.935,0.924
0.2,1.085,1.07,1.053,1.043,1.034,1.026,1.019,1.012,1.006,1.001,0.996,0.987,0.979,0.966,0.951,0.94,0.929
0.25,1.088,1.073,1.057,1.046,1.037,1.03,1.023,1.017,1.011,1.006,1.001,0.992,0.984,0.971,0.956,0.945,0.933
0.3,1.091,1.076,1.06,1.05,1.041,1.034,1.027,1.021,1.016,1.01,1.006,0.997,0.989,0.976,0.961,0.95,0.938
0.35,1.093,1.079,1.064,1.054,1.045,1.038,1.032,1.026,1.02,1.015,1.011,1.002,0.995,0.982,0.966,0.955,0.943
0.4,1.096,1.082,1.067,1.058,1.049,1.042,1.036,1.03,1.025,1.02,1.016,1.007,1,0.987,0.972,0.96,0.948
0.45,1.099,1.085,1.071,1.062,1.054,1.047,1.041,1.035,1.03,1.025,1.021,1.013,1.006,0.993,0.978,0.966,0.953
0.5,1.102,1.089,1.075,1.066,1.058,1.051,1.046,1.04,1.035,1.031,1.027,1.019,1.012,0.999,0.984,0.971,0.959
0.55,1.105,1.092,1.078,1.07,1.062,1.056,1.051,1.045,1.041,1.036,1.032,1.025,1.018,1.005,0.99,0.977,0.964
0.6,1.108,1.095,1.082,1.074,1.067,1.061,1.056,1.051,1.046,1.042,1.038,1.031,1.024,1.012,0.996,0.984,0.97
0.65,1.111,1.099,1.086,1.078,1.072,1.066,1.061,1.056,1.052,1.048,1.044,1.037,1.03,1.018,1.003,0.99,0.976
0.7,1.114,1.102,1.09,1.082,1.076,1.071,1.066,1.062,1.058,1.054,1.05,1.043,1.037,1.025,1.01,0.997,0.983
0.75,1.117,1.105,1.094,1.087,1.081,1.076,1.072,1.067,1.064,1.06,1.057,1.05,1.044,1.033,1.017,1.004,0.989
0.8,1.12,1.109,1.098,1.091,1.086,1.081,1.077,1.073,1.07,1.066,1.063,1.057,1.051,1.04,1.025,1.012,0.996
0.85,1.123,1.112,1.102,1.096,1.091,1.087,1.083,1.08,1.076,1.073,1.07,1.064,1.059,1.048,1.033,1.019,1.004
0.9,1.126,1.116,1.107,1.101,1.096,1.092,1.089,1.086,1.083,1.08,1.077,1.072,1.067,1.056,1.041,1.028,1.011
0.95,1.129,1.12,1.111,1.106,1.102,1.098,1.095,1.092,1.09,1.087,1.085,1.08,1.075,1.065,1.05,1.036,1.019
1,1.132,1.124,1.115,1.111,1.107,1.104,1.101,1.099,1.097,1.095,1.092,1.088,1.083,1.074,1.059,1.045,1.028
1.05,1.136,1.127,1.12,1.116,1.113,1.11,1.108,1.106,1.104,1.102,1.1,1.096,1.092,1.083,1.069,1.055,1.037
1.1,1.139,1.131,1.125,1.121,1.118,1.116,1.115,1.113,1.112,1.11,1.109,1.105,1.102,1.093,1.079,1.065,1.046
1.15,1.142,1.135,1.129,1.126,1.124,1.123,1.122,1.12,1.119,1.118,1.117,1.114,1.111,1.104,1.09,1.075,1.056
1.2,1.146,1.139,1.134,1.132,1.13,1.129,1.129,1.128,1.128,1.127,1.126,1.124,1.121,1.115,1.101,1.086,1.066
