Coordinate_mm,Data
-10.00,84.70
-9.00,84.60
-8.00,84.30
-7.00,84.10
-6.00,83.80
-5.00,83.60
-4.00,83.30
-3.00,83.10
-2.00,82.90
-1.00,82.70
0.00,82.60
1.00,82.30
2.00,82.50
3.00,84.50
4.00,86.30
5.00,88.30
6.00,90.30
7.00,92.40
8.00,94.50
9.00,96.50
10.00,98.20
11.00,99.80
12.00,100.80
13.00,101.30
14.00,101.00
15.00,99.60
16.00,97.50
17.00,94.50
18.00,90.20
19.00,85.90
20.00,79.00
21.00,72.50
22.00,64.60
23.00,56.50
24.00,47.90
25.00,38.50
26.00,30.50
27.00,23.80
28.00,16.60
29.00,11.30
30.00,6.90
31.00,4.30
32.00,2.30
33.00,1.30
34.00,0.80
35.00,0.60
36.00,0.60
37.00,0.50
38.00,0.50
39.00,0.50
40.00,0.50
41.00,0.50
42.00,0.50
43.00,0.50
44.00,0.50
45.00,0.50
46.00,0.50
47.00,0.50
48.00,0.50
49.00,0.50
50.00,0.50
