VOI Material,Mass density,Stp PWR,CT number,AAA,AXB Dw,AXB Dm,Mean,Max % error
Air,0.0,0.0073,-993,1.033986928104575,1.0484927916120577,0.9082568807339448,0.9969122001501924,15.440115440115456
Lung,0.26,0.2699,-734,1.0130718954248366,1.0235910878112713,1.0222804718217562,1.0196478183526214,1.0383460871771055
Adipose tissue,0.92,0.9421,-105,1.0052287581699346,0.9790301441677588,0.9986893840104849,0.9943160954493928,2.6759762360990837
Water,1.0,1.01,0,1.0,1.0,1.0,1.0,0.0
Epoxy,1.04,1.0389,38,1.0,1.019659239842726,0.944954128440367,0.9882044560943642,7.9056865464632375
Muscle skeletal,1.05,1.0483,48,1.0,1.0026212319790302,0.9882044560943644,0.9969418960244649,1.4588859416445663
Cartilage,1.1,1.0855,128,0.9947712418300652,1.0078636959370904,0.9829619921363041,0.9951989766344865,2.533333333333323
PMMA,1.19,1.1617,282,0.9947712418300652,0.9921363040629095,0.9606815203145478,0.9825296887358409,3.5484935220108804
Radel,1.3,1.2548,470,0.9947712418300652,1.0222804718217562,0.9292267365661862,0.9820928167393359,10.01410437235542
PEEK,1.31,1.2633,487,0.9947712418300652,1.003931847968545,0.9239842726081258,0.9742291208022453,8.652482269503535
PVC,1.38,1.3215,605,0.9908496732026144,1.1389252948885977,0.9370904325032765,1.0222884668648293,21.53846153846155
Acetal,1.42,1.3545,671,0.9895424836601308,1.0,0.946264744429882,0.9786024093633375,5.6786703601108135
PVDF,1.77,1.6575,1283,0.9803921568627451,1.0183486238532111,0.8859764089121887,0.9615723965427149,14.940828402366886
Bone,1.85,1.7303,1430,0.9777777777777777,1.076015727391874,0.9357798165137615,0.9965244405611378,14.985994397759079
PTFE,2.2,2.0329,2041,0.966013071895425,1.0340760157273918,0.8466579292267364,0.9489156722831843,22.136222910216734
Aluminium,2.7,2.465,2913,0.9477124183006536,1.197903014416776,0.8335517693315858,0.9930557340163384,43.71069182389938
Titanium alloy,4.42,3.8126,5908,0.8797385620915031,1.3001310615989514,0.8099606815203145,0.996610101736923,60.5177993527508
