VOI Material,CT number,Mass density,Elect density,Proton Stp PWR,AAA (Gy) point,AXB Dw (Gy) point,AXB Dm (Gy) point
Air,-993,0.001,0.0072,0.0073,0.791,0.8,0.693
Lung,-734,0.26,0.266,0.2699,0.775,0.781,0.78
Adipose tissue,-105,0.92,0.8954,0.9421,0.769,0.747,0.762
Water,0,1,1,1.01,0.765,0.763,0.763
Epoxy,38,1.04,1.0384,1.0389,0.765,0.778,0.721
Muscle skeletal,48,1.05,1.048,1.0483,0.765,0.765,0.754
Cartilage,128,1.1,1.128,1.0855,0.761,0.769,0.75
PMMA,282,1.19,1.2103,1.1617,0.761,0.757,0.733
Radel,470,1.3,1.3209,1.2548,0.761,0.78,0.709
PEEK,487,1.31,1.3309,1.2633,0.761,0.766,0.705
PVC,605,1.38,1.3998,1.3215,0.758,0.869,0.715
Acetal,671,1.42,1.4389,1.3545,0.757,0.763,0.722
PVDF,1283,1.77,1.7977,1.6575,0.75,0.777,0.676
Bone,1430,1.85,1.8839,1.7303,0.748,0.821,0.714
PTFE,2041,2.2,2.2421,2.0329,0.739,0.789,0.646
Aluminium,2913,2.7,2.7535,2.465,0.725,0.914,0.636
Titanium alloy,5908,4.42,4.5088,3.8126,0.673,0.992,0.618
