Mass density,VOI Material,AAA,AXB Dw,AXB Dm,CCC,EGS,CT number,Elect density,Proton Stp PWR
0.0,,,,,1.021097046413502,0.9666666666666666,,,
0.001,Air,1.033986928104575,1.0484927916120577,0.9082568807339448,,,-993.0,0.0072,0.0073
0.26,Lung,1.0130718954248366,1.0235910878112713,1.0222804718217562,,,-734.0,0.266,0.2699
0.5,,,,,1.0154711673699017,1.02,,,
0.92,Adipose tissue,1.0052287581699346,0.9790301441677588,0.9986893840104849,,,-105.0,0.8954,0.9421
1.0,Water,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.01
1.04,Epoxy,1.0,1.019659239842726,0.944954128440367,,,38.0,1.0384,1.0389
1.05,Muscle skeletal,1.0,1.0026212319790302,0.9882044560943644,,,48.0,1.048,1.0483
1.1,Cartilage,0.9947712418300652,1.0078636959370904,0.9829619921363041,,,128.0,1.128,1.0855
1.19,PMMA,0.9947712418300652,0.9921363040629095,0.9606815203145478,,,282.0,1.2103,1.1617
1.3,Radel,0.9947712418300652,1.0222804718217562,0.9292267365661862,,,470.0,1.3209,1.2548
1.31,PEEK,0.9947712418300652,1.003931847968545,0.9239842726081258,,,487.0,1.3309,1.2633
1.38,PVC,0.9908496732026144,1.1389252948885977,0.9370904325032765,,,605.0,1.3998,1.3215
1.42,Acetal,0.9895424836601308,1.0,0.946264744429882,,,671.0,1.4389,1.3545
1.5,,,,,0.9676511954992968,0.9733333333333334,,,
1.77,PVDF,0.9803921568627451,1.0183486238532111,0.8859764089121887,,,1283.0,1.7977,1.6575
1.85,Bone,0.9777777777777777,1.076015727391874,0.9357798165137615,,,1430.0,1.8839,1.7303
2.0,,,,,0.9282700421940929,0.9466666666666665,,,
2.2,PTFE,0.966013071895425,1.0340760157273918,0.8466579292267364,,,2041.0,2.2421,2.0329
2.5,,,,,0.8818565400843883,0.9200000000000002,,,
2.7,Aluminium,0.9477124183006536,1.197903014416776,0.8335517693315858,,,2913.0,2.7535,2.465
3.0,,,,,0.8537271448663855,0.9,,,
3.5,,,,,0.838255977496484,0.8733333333333334,,,
4.0,,,,,0.8227848101265823,0.8533333333333334,,,
4.42,Titanium alloy,0.8797385620915031,1.3001310615989514,0.8099606815203145,,,5908.0,4.5088,3.8126
