Coordinate_mm,PDD
0,59.5
1,60
2,69.4
3,82.2
4,91.2
5,98.1
6,103.1
7,106.9
8,109.9
9,111.9
10,113.4
11,114.6
12,115
13,115.7
14,115.8
15,115.8
16,115.5
17,115.2
18,115.1
19,114.9
20,114.3
21,114
22,113.5
23,112.9
24,112.6
25,112.2
26,111.8
27,111.1
28,110.7
29,110.2
30,109.5
31,109.1
32,108.7
33,108.2
34,107.6
35,107.3
36,106.9
37,106.2
38,105.7
39,105.2
40,104.8
41,104.3
42,103.6
43,103.5
44,102.8
45,102.4
46,101.8
47,101.2
48,100.9
49,100.3
50,99.9
51,99.4
52,98.9
53,98.4
54,97.9
55,97.3
56,96.7
57,96.3
58,95.9
59,95.4
60,95
61,94.4
62,93.8
63,93.5
64,93.1
65,92.7
66,92.3
67,91.8
68,91.3
69,90.9
70,90.4
71,89.8
72,89.3
73,88.9
74,88.4
75,88.1
76,87.7
77,87.1
78,86.5
79,86.1
80,85.7
81,85.2
82,84.7
83,84.1
84,83.6
85,83.4
86,83.1
87,82.7
88,82.3
89,81.6
90,81
91,80.8
92,80.5
93,80.1
94,79.6
95,79.1
96,78.6
97,78.2
98,77.8
99,77.5
100,77.1
101,76.7
102,76.3
103,75.9
104,75.4
105,74.9
106,74.4
107,74
108,73.5
109,73.1
110,72.7
111,72.4
112,72.1
113,71.7
114,71.2
115,70.8
116,70.4
117,70.1
118,69.7
119,69.2
120,68.8
121,68.5
122,68.2
123,67.9
124,67.7
125,67.2
126,66.7
127,66.3
128,65.9
129,65.6
130,65.2
131,64.6
132,64.1
133,63.9
134,63.7
135,63.4
136,63.1
137,62.7
138,62.4
139,62
140,61.6
141,61.2
142,60.9
143,60.6
144,60.4
145,60
146,59.7
147,59.4
148,59.1
149,58.6
150,58.2
151,57.9
152,57.6
153,57.3
154,57
155,56.8
156,56.6
157,56.2
158,55.8
159,55.6
160,55.3
161,54.8
162,54.4
163,54.3
164,54
165,53.6
166,53.3
167,53
168,52.8
169,52.6
170,52.4
171,51.9
172,51.6
173,51.5
174,51.3
175,50.9
176,50.5
177,50.3
178,50
179,49.7
180,49.4
181,49.1
182,48.9
183,48.7
184,48.5
185,48.2
186,47.9
187,47.6
188,47.3
189,47.1
190,46.8
191,46.5
192,46.2
193,46
194,45.9
195,45.6
196,45.3
197,45.1
198,44.8
199,44.5
200,44.2
201,43.9
202,43.6
203,43.5
204,43.3
205,43.1
206,42.8
207,42.5
208,42.2
209,42
210,41.9
211,41.6
212,41.4
213,41.1
214,40.8
215,40.6
216,40.4
217,40.2
218,40
219,39.8
220,39.6
221,39.4
222,39.1
223,39
224,38.8
225,38.5
226,38.2
227,38
228,37.8
229,37.7
230,37.5
231,37.2
232,37
233,36.9
234,36.8
235,36.5
236,36.3
237,36.1
238,35.9
239,35.7
240,35.4
241,35.2
242,34.9
243,34.8
244,34.6
245,34.5
246,34.4
247,34.1
248,33.9
249,33.8
250,33.8
251,33.6
252,33.4
253,33.3
254,33.1
255,32.9
256,32.7
257,32.4
258,32.1
259,31.9
260,31.7
261,31.6
262,31.6
263,31.3
264,31.1
265,30.8
266,30.6
267,30.7
268,30.6
269,30.4
270,30.1
271,30
272,29.9
273,29.7
274,29.5
275,29.4
276,29.2
277,29
278,28.9
279,28.7
280,28.5
281,28.3
282,28.2
283,28.1
284,28
285,27.8
286,27.6
287,27.5
288,27.3
289,27.1
290,26.9
291,26.9
292,26.8
293,26.6
294,26.4
295,26.3
296,26.2
297,26.1
298,26
299,25.9
300,25.8
301,25.6
302,25.5
303,25.3
304,25.1
305,24.9
306,24.7
307,24.7
308,24.7
309,24.6
310,24.4
311,24.2
312,24
313,23.9
314,23.8
315,23.8
316,23.7
317,23.5
318,23.4
319,23.2
320,23.1
321,23
322,22.8
323,22.7
324,22.6
325,22.5
326,22.4
327,22.3
328,22.2
329,21.9
330,21.7
331,21.6
332,21.5
333,21.5
334,21.4
335,21.3
336,21.2
337,21
338,20.9
339,20.8
340,20.7
341,20.6
342,20.4
343,20.3
344,20.2
345,20.1
346,19.9
347,19.9
348,19.8
349,19.8
